I believe in America.|我相信美国
I gotta frisk you, so turn around, huh?|我得搜你的身, 转过身来, 好吗?
On your knees, facing me.|跪在椅子上, 面向我
I guess I'm getting too old for my job.|我想我干这行已经嫌老了
Too grouchy.|太暴躁了
Can't stand the aggravation. You know how it is.|受不了别人的激怒, 你知道是怎么回事
He's clean.|他没带家伙
We're going to Jersey?|我们要去泽西岛?
Maybe.|也许
Nice work, Lou.|做得漂亮, 卢
How's the Italian food in this restaurant?|这里的意大利菜味道还可以吧?
Good.|很好
Try the veal. It's the best in the city.|尝尝这里的小牛肉, 是本市最棒的
I'll have it.|我点了一份
Go ahead.|快点
I'm gonna speak Italian to Mike.|我要和迈克用意大利语交谈
Go ahead.|请便
-Mi dispiace. -Sul serio?|-我很抱歉  -真的吗?
Tu ai sapiri cachiddu ca successe tra mie tu patri. fu una cosa di bisiness.|你知道我和你父亲之间发生了什么事情, 这是一桩生意
Io ai un grosso rispetto pi tu patri, ma tu patri pensa al'antica.|我一直很尊敬你父亲, 但你父亲的思想已经过时了
Iddu nu lo vo capiri che eo sono un uomo de onori.|你必须知道一件事, 我是一个重信义的人
-Non mo diri sti cosi. I sacciu. -'o sai?|-别和我说这些, 我全明白  -你知道了?
E tu a sapiri che eo ho aiutato a famiglia Tattaglia.|可以告诉你, 我已经向塔塔基利亚家族求援了
Io credo che ci potemo mettere in accordo.|我认为我们可以达成协议
Io voglio paci.|我想要和平
E lasciamo perdere co tutti sti cazzati.|忘掉这些仇恨和不快吧
Ma voggiu ca...|我有个希望...
Che?|什么?
Come si dice?|你怎么说的?
What's most important to me|对我来说最重要的是
is that I have a guarantee: No more attempts on my father's life.|我得到一个保证: 不会再有人想要我父亲的命
What guarantees could I give you, Mike?|我能给你什么保证, 迈克?
I am the hunted one.|我是被追捕的那个
I missed my chance.|我错过了机会
You think too much of me, kid.|你太看重我了, 孩子
I'm not that clever.|我没有那么精明
All I want is a truce.|我想要的只是休战
I have to go to the bathroom. Is that all right?|我不得不去一趟厕所, 可以吗?
You gotta go, you gotta go.|你想去你就去吧
I frisked him. He's clean.|我搜过了, 他没带家伙
Don't take too long.|别去太久
I've frisked a thousand young punks.|我搜过上千个小混混了
-Ti senti meglio? -Si.|-感觉好多了吗?  -是
Micheluzzo, tu mi capisci, no?|迈克尔, 你明白我的意思吧?
Si italiano, come tu patri.|是的, 意大利人, 就像你父亲
Tu patri sta male.|你父亲病了
Quand' iddu sta meglio, cicchiamo di fare un union e mettiamo tuttto a posto.|等他感觉好些的时候, 让我们联合起来, 把所有事情做好
Sti fisseria si deve a finì.|这一切都结束了
Hey, come on.|嘿, 过来
Joe, you take over.|乔, 你接手
I love you, Grandpa.|我爱你, 爷爷
I'm sorry, Pa. He doesn't know you yet.|对不起, 爸, 他还不认识你
Here you are, big guy. Give it to Grandpa.|给你, 大块头, 念给爷爷听
Okay. "I hope you get well, Grandpa, and I wish I would see you soon.|好, "我祝你早日康复, 爷爷, 我希望能快点见到你
"Love your grandson, Frank."|"爱你的孙子, 弗兰克"
Oh, thank you.|哦, 谢谢你
Go with your mother.|和你妈妈一起去吧
Go ahead. Take 'em downstairs.|去吧, 把他们带到楼下去
Mom|妈妈
Go on, Carlo. You too.|走吧, 卡洛, 你也是
Go on.|走吧
I got chicken cacciatore for you, sweetheart.|亲爱的, 我给你准备了炖鸡
But how much can you eat?|但你能吃多少呢?
What's the matter with you, Carlo?|你怎么了, 卡洛?
Shut up and set the table.|闭嘴, 摆好桌子吧
Since McCluskey's killing|自从麦克劳斯基被杀后
the police have been cracking down on most of our operations.|警方一直在打击我们的大部分行动
And also the other families'.|其它的家族也是一样
Been a lot of bad blood.|牺牲很多
They hit us|他们打击我们
so we hit them back.|所以我们反击了他们
Through our contacts in the newspapers, we've been able to put out a lot of material|通过我们在报社中的联系人, 我们提供了不少内幕
about McCluskey being linked with Sollozzo in the drug rackets.|很多麦克劳斯基跟毒贩索洛佐在毒品交易中勾结的事
See, things are starting to loosen up.|所以, 情况开始缓和了
Dad, I'm sending Fredo to Las Vegas|爸爸, 我要派弗雷多去拉斯维加斯
under the protection of Don Francesco of L.A.|洛杉矶的弗朗西斯科阁下会给予他保护
I want him to rest.|我想让他休息一阵
-I'm going to learn the casino business. -Yeah.|-我要去学赌场的业务了  -是
Where is Michael?|迈克尔在哪儿?
It was Michael who killed Sollozzo.|迈克尔杀了索洛佐
But he's safe.|不过他很安全
We're starting to work to bring him back now.|我们正在着手把他弄回来
I want you to find out where that little pimp Tattaglia is hiding.|我要你找出塔塔基里亚这个皮条客的藏身之处
I want his ass now. right now!|我现在就想要他的命, 马上!
-Hey, Sonny. -What?|-嘿, 桑尼  -什么事?
Things are starting to loosen up a little bit.|现在局势刚刚缓和下来
If you go after Tattaglia|你要是去追塔塔基利亚
all hell's going to break loose.|又会引起一场大战
Let the smoke clear. Pop can negotiate.|让烟雾散去吧, 爸爸可以谈判
No, Pop can't do nothing till he's better.|不, 爸爸在身体好转之前什么都不能做
I'm gonna decide...|我要决定...
All right, but your war's costing us a lot of money.|好吧, 但你的战争让我们损失了很多钱
Nothing's coming in. We can't do business.|没有任何进帐, 我们不能做生意了
Neither can they. Don't worry about it.|他们也不能做生意, 别担心
-We can't afford a stalemate. -Well, there ain't no more stalemate.|-我们不能陷入僵局  -好吧, 不会再有僵局了
I'm gonna end it by killing that old bastard.|我要以宰了那个老混蛋来结束这一切
Yeah, you're getting a great reputation. I hope you're enjoying it.|是啊, 你现在名声大噪, 我希望你喜欢
You just do what I tell you to do!|你就照我说的去做!
Goddamn it! If I had a wartime consigliere a Sicilian|该死的! 如果我有一个西西里人的战时军师
I wouldn't be in this shape!|我就不会落到这种地步了!
Pop had Genco. Look what I got.|爸爸有杰安可, 看看我有什么
I'm sorry. I didn't mean that.|对不起, 我不是那个意思
Mom made a little dinner. It's Sunday.|妈妈做了一顿小小的晚餐, 今天是礼拜日
Niggers are having a good time with our policy banks up there in Harlem.|黑鬼对我们哈林区的银行新政策非常满意
Driving them new Cadillacs, paying 50% on a bet.|开着新凯迪拉克, 我先帮他们付一半的钱
I knew that was gonna happen as soon as they started making big money.|从他们开始赚钱时, 我就知道会发生这种事
Papa never talked business at the table in front of the kids.|爸爸从来不在餐桌上 当着孩子们谈生意
-Shut up, Connie. -Don't you ever tell her to shut up. You got that?|-闭嘴, 康妮  -你永远不要告诉她闭嘴, 明白了吗?
Santino, don't interfere.|桑蒂诺, 不要干预
Sonny, Tom, I'd like to talk to you, maybe after dinner.|桑尼, 汤姆, 吃过饭后我想与你们谈谈
-I could be doing more for the family... -We don't discuss business at the table.|-我本可以为这个家庭做更多的事...  -我们不在餐桌上讨论生意
I apologize if I offended you.|如果我冒犯了你, 我深表歉意
I'm a stranger in this country|我对这个地方很陌生
and I meant no disrespect to you or your daughter.|我无意冒犯你和你的女儿
I'm an American hiding in Sicily.|我是一个躲在西西里的美国人
My name is Michael Corleone.|我的名字是迈克尔·柯里昂
There are people who would pay a lot of money for that information.|有人愿意花大价钱买这条信息
But then your daughter would lose a father...|但那样你女儿就会失去父亲…
instead of gaining a husband.|而不是得到一位丈夫
I want to meet your daughter|我想见见你的女儿
with your permission|在你的允许下
and under the supervision of your family.|并在你的家人的监督之下
with all respect.|我是真诚的
Apollonia.|艾波洛妮亚
I'll knock you dizzy.|我会把你打晕
Save it for the library.|废话少说
Come on. We've got to pick up my sister. Let's go.|来吧, 我们得去接我妹妹. 走吧
What's the matter? Huh?|怎么了? 嗯?
What's the matter?|怎么了?
-It was my fault! -Where is he?|-这是我的错!  -他在哪儿?
Sonny, please. It was my fault.|桑尼, 求你了. 这是我的错
Sonny, It was my fault. I hit him. I started a fight with him.|桑尼, 是我的错. 我打了他, 是我先开始打他的
I started a fight with him. I hit him, so he hit me...|是我先开始打他的. 我打了他, 所以他打了我...
Okay. I'm just gonna get a doctor to come and take a look at you.|好吧. 我去找个医生来给你检查一下
Sonny, please don't do anything. please don't do anything.|桑尼, 求求你别动手. 求求你别动手
What's the matter with you? What am I gonna do?|你是怎么了? 我会怎么办?
Am I gonna make that baby an orphan before he's born? Huh? Hmm?|我会在孩子出生之前让他成为孤儿吗? 嗯?
All right?|好了吗?
Still betting the Yankees pretty heavy?|还在把赌注押在洋基队上吗?
Tell him to stop taking action, all right?|告诉他别再投注了, 好吗?
You lost enough money last weekend to me.|你上周末输给我的钱够多了
Carlo, Come here, come here, come here!|卡洛, 过来, 过来, 过来!
You touch my sister again, I'll kill you.|你再碰我妹妹一下, 我就杀了你
Hey! Weren't expecting you. Kay. You should call.|嘿! 没想到你会来, 凯. 你应该先打个电话来
Yes, well, I have. I've tried writing and calling.|是的, 我打了. 我写过信也打过电话
Now, I wanna reach Michael.|我想联系迈克尔
Nobody knows where he is.|没有人知道他在哪儿
We know he's all right, but that's all.|我们知道他没事, 但仅此而已
-What was that? -That's an accident. But nobody was hurt.|-怎么了?  -那是个意外. 但没有人受伤
Tom|汤姆
Would you give this letter to Michael, please?|请你把这封信交给迈克尔, 好吗?
If I accepted that, in a court of law|如果我接受了, 在法庭上
they could prove I have knowledge of his whereabouts.|他们可以证明我知道他的下落
Now you just be patient, Kay. He'll get in touch with you, all right?|现在你只要耐心一点, 凯. 他会和你联系的, 好吗?
I let my cab go, so can I come in to call another one, please?|我让我的出租车走了, 我是否能进去打电话叫一辆?
Come on. I'm sorry. Come on.|来吧, 对不起. 来吧
Hello? Hello?|你好? 喂?
Is Carlo there?|卡洛在吗?
-Who's this? -This is a friend of Carlo's.|-你是谁? -我是卡洛的朋友
Would you tell him that I can't make it tonight until later?|你能告诉他我今晚不能去了吗?
Bitch.|婊子
-Dinner's on the table. -I'm not hungry yet.|-晚饭在桌上  -我还不饿
Your food is on the table. It's getting cold. -I'll eat out later.|-你的食物在桌子上, 快变凉了. -我一会儿出去吃
You told me to make you dinner.|你叫我给你做晚饭的
-Hey, vaffancolo, eh? -I'll vaffanculo you!|-嘿, 去你妈的, 嗯? -我去你妈的!
She has a filthy mouth, this little guinea brat.|她的嘴很脏, 这个意大利婊子
That's it. Break it all|就是这样. 都打碎吧
you spoiled guinea brat. Break it all!|你这个被宠坏的婊子, 都打碎吧
Why don't you bring your whore home for dinner?|为什么不把你的婊子带回家吃晚饭?
Maybe I will. Why not?|也许我会. 有什么不行的?
Now clean it up!|现在把它清干净!
Like hell I will!|我才不清!
Clean it up, you guinea spoiled brat!|清干净, 你这个被宠坏的婊子
Clean it up! I said, Clean it up!|把它清干净! 我说把它清干净!
Clean it up! Clean it up!|把它清干净! 把它清干净!
No!|不!
You son of a bitch!|你这个婊子养的!
Clean it!|清干净!
Clean it up.|把它清干净!
Yeah, yeah. Come on, now! Kill me! Be a murderer like your father!|对, 对. 来, 杀了我! 像你爸一样当凶手!
-Come on! All you Corleones are murderers! -I hate you!|来吧! 你们柯里昂家族的人都是杀人犯!  -我恨你!
-Come on! kill me! -I'll kill you!|-来吧, 杀了我! -我要杀了你!
Come on, kill me! Get up! Get out of here!|来吧, 杀了我! 起来! 滚出去!
-I hate you! -Now I'll kill you.|-我恨你!-现在我要杀你了
You guinea brat, you.|你这意大利贱货
Get out here!|滚出来
Connie, what's the matter?|康妮, 怎么回事?
I can't hear you. What is it?|我听不见你说的, 什么事?
Connie, talk louder. The baby's crying.|康妮, 说大点声. 孩子在哭
Santino, I can't understand. I don't know.|桑蒂诺, 我听不懂. 我不明白
Yeah, Connie.|什么事, 康妮
Listen, you wait there.|听我说, 你在那等着
No, you just wait there.|不, 你就在那里等着
Son of a bitch! Son of a bitch!|婊子养的! 婊子养的!
-What's the matter, Sonny? -Son of a bitch!|-桑尼, 怎么回事? -婊子养的!
Open the goddamn gate. Get off your ass.|打开该死的大门, 给我滚开
Sonny!|桑尼!
Sonny, come on!|桑尼, 得了吧!
Get out of here!|滚开!
Go after him. Go on.|去追他, 跟上
Son of a bitch. Come on! Come on!|婊子养的! 快点! 快点!
Give me a drop.|给我一口
My wife is crying upstairs.|我太太在楼上哭
I hear cars coming to the house.|我听见汽车到家里来
Consigliere of mine|我的军师
I think you should tell your Don what everyone seems to know.|我觉得你应该把大家都知道的事告诉你的头儿
I didn't tell Mama anything.|我什么都没告诉妈妈
I was about to come up and wake you just now and tell you.|我正要上楼叫醒你, 告诉你
-But you needed a drink first. -Yeah.|-但你需要先喝一杯  -是
Now you've had your drink.|现在你喝过酒了
They shot Sonny on the causeway.|他们在收费站杀了桑尼
He's dead.|他死了
I want no inquiries made.|我不要追查此事
I want no acts of vengeance.|我不想要报复
I want you to arrange a meeting|我要你安排一次会面
with the heads of the five families.|与五大家族的族长
This war stops now.|这场火并该终止了
Call Bonasera.|打电话给包纳萨拉
We need him now.|我们现在需要他了
This is Tom Hagen.|我是汤姆·哈根
I'm calling for Vito Corleone, at his request.|我应维托·柯里昂的要求, 打这个电话
Now, you owe your Don a service|你欠教父的一个人情
he has no doubt that you will repay it.|他相信你会回报他的
Now, he will be at your funeral parlor in one hour.|他在一小时后会到你的殡仪馆去
Be there to greet him.|在那儿等候他
Well, my friend|我的朋友
are you ready to do me this service?|你预备好为我服务了吗?
Yes. What do you want me to do?|是的, 你想要我做什么?
I want you to use all your powers and all your skills.|我要你尽你一切的力量和技巧, 为他化妆
I don't want his mother to see him this way.|我不想让他妈妈看到他这个样子
Look how they massacred my boy.|看看他们是怎么屠杀我儿子的
Monday|我会英文, 星期一
Tuesday, Thursday Wednesday|星期二, 星期三, 星期四
Friday, Sunday, Saturday.|-星期五, 星期日, 星期六 -哦, 好极了
-Fabrizio. -Yes, sir?|-法布利奇欧 -什么事, 先生?
Are you driving yourself, boss?|你要自己开吗, 老板?
Yes.|是的
Is your wife coming with you?|你太太跟你一起去吗?
No, I want you to take her to her father's house till I know things are safe.|不, 我想让你带她去她父亲家, 直到我确定安全再说
Okay, anything you say, boss.|好的, 随你吩咐, 老板
No! No, Apollonia!|不! 不, 艾波洛妮亚!
Don Barzini|巴西尼阁下
I want to thank you for helping me organize this meeting here today.|我要感谢你今天在这里帮助我组织这次会议
And also the other heads of the five families from New York and New Jersey.|还有来自纽约和新泽西的其它五大家族的族长
Carmine Cuneo from the Bronx|来自布朗克斯的卡迈恩·库尼奥
and from Brooklyn|来自布鲁克林的
Philip Tattaglia.|菲利普·塔塔基利亚
And from Staten Island|来自斯塔滕岛的
we have with us Victor Strachi.|维克多·斯特拉奇
And all the other associates that came as far as from California and Kansas City|所有其他从加利福尼亚州、堪萨斯城
and all the other territories of the country.|和全国其他地区远道而来的同道
Thank you.|谢谢你们
How did things ever get so far?|事情怎么会发展到这个地步?
I don't know.|我不知道
It was so unfortunate and so unnecessary.|太不幸了, 也太没必要了
Tattaglia lost a son|塔塔基利亚失去了一个儿子
and I lost a son.|我失去了一个儿子
We're quits.|我们扯平了
And if Tattaglia agrees|如果塔塔基利亚同意
then I'm willing to let things go on the way they were before.|我愿意让事情像以前那样继续下去
We are all grateful to Don Corleone for calling this meeting.|我们都很感谢柯里昂阁下 召开这次会议
We all know him as a man of his word.|我们都了解他是一个有信用的人
A modest man. He'll always listen to reason.|他为人谦虚, 总是能讲道理
Yes, Don Barzini.|是的, 巴西尼阁下
He's too modest.|他太谦虚了
He had all the judges and politicians in his pocket.|所有的法官和政客都在他的掌控之中
He refused to share them.|他却拒绝与我们分享
When did I ever refuse an accommodation?|我什么时候拒绝过和解?
All of you know me here.|在座的各位都认识我
When did I ever refuse, except one time?|除了一次, 我什么时候拒绝过?
And why?|为什么?
Because I believe this drug business is gonna destroy us in the years to come.|因为我相信毒品生意会在未来毁掉我们
I mean, it's not like gambling or liquor or even women|我的意思是, 这不像赌博、酗酒, 甚至不像女人
which is something that most people want nowadays|这些是现在大多数人想要的东西
and is forbidden to them by the pezzonovante of the church.|只是被教会的牧师禁止而己
Even the police departments that have helped us in the past with gambling and other things|即使是过去在赌博和其他事情上帮助过我们的警察部门
are gonna refuse to help us when it comes to narcotics.|在毒品问题上也会拒绝帮助我们
And I believed that then and I believe that now.|我当时相信, 现在仍然相信
Times have changed.|时代变了
It's not like the old days|现在不像以前了
when we could do anything we want.|我们可以做任何我们想做的事
A refusal is not the act of a friend.|拒绝不是朋友的行为
If Don Corleone had all the judges and politicians in New York|柯里昂阁下握有全纽约法律界以及政客的势力
then he must share them or let others use them.|他就必须与大家分享, 让大家都能利用他们
He must let us draw the water from the well.|他必须让我们从井中取水
Certainly, he can present a bill for such services.|当然, 他可以为这些服务提出账单
After all, we are not Communists.|毕竟, 我们不是共产党人
I also don't believe in drugs.|我同样也不相信毒品
For years, I paid my people extra|多年来, 我给我的人额外的报酬
so they wouldn't do that kind of business.|所以他们不会做这种生意
Somebody comes to them and says, "I have powders.|避免有人来找他们说"我有白粉
"If you put up a three, four-thousand-dollar investment|"你只要投资3000元到4000元
"we can make 50,000 distributing."|"我们就可以赚到5万元"
So they can't resist.|他们怎能抗拒得了
I want to control it as a business, to keep it respectable.|我想把它作为一项业务来控制, 让它保持体面
I don't want it near schools|我不要它们接近学校
I don't want it sold to children.|我不要把它们卖给孩子
That's an infamia.|这是一种耻辱
In my city, we'll keep the traffic in the dark people, the colored.|在我的城市, 我只想在黑人, 有色人种中流通
They're animals anyway, so let them lose their souls.|反正他们是动物, 就让他们失去灵魂吧
I hoped that we could come here and reason together.|我希望我们到这儿来能一起讨论
As a reasonable man|身为一个讲道理的人
I'm willing to do whatever's necessary to find a peaceful solution to these problems.|我愿意做任何必要的事情来找到和平解决这些问题的办法
Then we are agreed.|那么我们同意了
The traffic in drugs will be permitted but controlled.|毒品生意可以做但要有限制
Don Corleone will give us protection in the east|柯里昂阁下会给我们东部的保护
and there will be the peace.|而且会有和平
But I must have strict assurance from Corleone.|但我必须有柯里昂阁下的确切保证
As time goes by and his position becomes stronger|随着时间的推移, 他的地位越来越强
will he attempt any individual vendetta?|他会试图进行个人报复吗?
Look, we are all reasonable men here.|听着, 我们都是讲道理的人
We don't have to give assurances as if we were lawyers.|我们不必像律师一样给出保证
You talk about vengeance.|你谈到复仇
Is vengeance gonna bring your son back to you?|复仇能让你的儿子复活吗?
Or my boy to me?|或者我的儿子复活?
I forego the vengeance of my son.|我放弃为我儿子复仇
But I have selfish reasons.|但我有个自私的要求
My youngest son was forced to leave this country|我最小的儿子因为索洛佐的生意
because of this Sollozzo business.|被迫离开这个国家
All right. And I have to make arrangements|好吧. 我必须安排
to bring him back here safely, cleared of all these false charges.|让他安全的回来, 洗脱所有这些虚假指控
But I'm a superstitious man.|而我是个迷信的人
And if some unlucky accident should befall him|如果他遭遇了什么不幸的意外
if he should get shot in the head by a police officer|如果他被警察开枪打死
or if he should hang himself in his jail cell|或者他在牢房里上吊自杀
or if he's struck by a bolt of lightening|或者他被闪电击中
then I'm going to blame some of the people in this room.|那么我会责怪这个房间里的一些人
And that I do not forgive.|到那时候, 我不会原谅
But that aside|除此以外
let me say that I swear on the souls of my grandchildren|我以我孙子们的灵魂发誓
that I will not be the one to break the peace we've made here today.|我不会是那个破坏我们今天在这里建立的和平的人
When I meet with the Tattaglia people, should I insist|当我与塔塔基里亚人会面时, 我应该
that all these drug middlemen have clean records?|坚持所有这些毒品中间人都没有犯罪记录吗?
Mention it. Don't insist.|提出来无妨, 不要坚持
Barzini is a man who'll know that without being told.|巴西尼这种人, 不用你说他也明白
You mean Tattaglia.|你是说塔塔基利亚
Tattaglia's a pimp.|塔塔基利亚是个皮条客
He never could've outfought Santino.|他没本事干掉桑蒂诺
But I didn't know until this day that it was|直到今天我才知道, 一直以来
Barzini all along.|都是巴西尼在主使
Come on, Nancy.|来吧, 南希
Keep together, everyone. Brian?|大家紧跟在一起. 布莱恩?
All right.|好的
How long have you been back?|你回来多久了?
I've been back a year.|我回来一年了
Longer than that, I think.|我想还不止
It's good to see you, Kay.|很高兴见到你, 凯
I'm working for my father now.|我现在为我父亲工作
He's been sick.Very sick.|他病了, 病得很重
But you're not like him, Michael.|但是你不像他, 迈克尔
I thought you weren't going to become a man like your father.|我以为你不会成为你爸爸那样的人
That's what you told me.|这是你告诉我的
My father's no different than any other powerful man.|我父亲和其他有权势的人没有什么不同
Any man who's responsible for other people.|就是那种要对他人负责任的人
Like a senator or a president.|就像参议员或总统一样
Do you know how naive you sound?|你知道你这话听起来有多天真吗?
Why?|为什么
Senators and presidents don't have men killed.|参议员和总统不会杀人
Oh.|哦
Who's being naive, Kay?|谁天真了, 凯?
Kay, my father's way of doing things is over. It's finished.|凯, 我父亲做事的方式已经结束了. 过时了
Even he knows that.|连他自己都知道
I mean, in five years the Corleone family|我的意思是, 再过5年柯里昂家族
is going to be completely legitimate.|会完全合法化
Trust me.|相信我
That's all I can tell you about my business.|关于我的生意, 我只能告诉你这些
Kay...|凯...
Michael, Why did you come here?|迈克尔, 你为什么来这里?
Why?|为什么?
What do you want with me after all this time?|过了这么久, 你想要我做什么?
Without even calling or writing.|你不打电话也不写信
I came here because I need you. Because I care for you.|我来这里是因为我需要你. 因为我在乎你
-Please stop it, Michael. -Because...|-别再说了, 迈克尔  -因为...
I want you to marry me.|我要你嫁给我
It's too late. It's too late.|太晚了, 太晚了
Please, Kay...|请求你, 凯...
I'll do anything you ask to make up for what's happened to us.|我愿意做任何事来弥补我们之间发生的一切
Because that's important, Kay.|因为这很重要, 凯
Because what's important is that|因为重要的是
we have each other.|我们拥有彼此
That we have a life together.|我们要共度一生
That we have children.|我们会有孩子
Our children.|我们的孩子
Kay.|凯
I need you.|我需要你
and I love you.|而且我爱你
Barzini's people chisel my territory|巴西尼的人抢了我的地盘
and we do nothing about it!|而我们却无动于衷!
Soon, there won't be one place in Brooklyn I can hang my hat!|很快, 布鲁克林就没有一个地方可以让我落脚了!
Just be patient.|耐心点儿
I'm not askin' you for help. Just take off the handcuffs.|我不是求你帮忙, 只是不想受掣肘
Be patient.|要有耐心
We gotta protect ourselves.|我们必须保护自己
Give me a chance to recruit some new men.|给我个机会再招募一些新人
No.|不行
-I don't wanna give Barzini an excuse to start fighting. -Mike, you're wrong.|-我不想给巴西尼一个开战的借口  -迈克尔, 你错了
Don Corleone,|柯里昂阁下
you once said the day would come when Tessio and me could form our own family.|你曾说过, 有一天泰西欧和我可以组建我们自己的家族
Till today, I would never think of it.|今天以前我想都不敢想
I must ask your permission.|我必须征得你的许可
Well, Michael is now head of the family and|迈克尔现在是一家之主
if he gives his permission, then you have my blessing.|如果他允许, 那么我就祝福你
After we make the move to Nevada|等我们搬到内华达州之后
you can break off from the Corleone family and go on your own.|你就可以脱离柯里昂家族自立门户了
After we make the move to Nevada.|在我们搬到内华达州之后
How long will that be?|那得花多长时间?
Six months.|6个月
Forgive me, Godfather|原谅我, 教父
but with you gone|当你离开之后
me and Pete'll come under Barzini's thumb sooner or later.|我和皮特迟早会受到巴西尼的控制
And I hate that goddamn Barzini.|我恨那个该死的巴西尼
In six months' time, there won't be nothing left to build on.|6个月之后, 就没有什么可以组建的家族了
You have faith in my judgment?|你相信我的判断吗?
Yes.|相信
Do I have your loyalty?|我有你的忠诚吗?
Yes, always, Godfather.|是的, 一直都有, 教父
Then be a friend to Michael.|那就做迈克尔的朋友
Do as he says.|照他说的去做
There are things being negotiated now that are gonna|现在有些事情正在谈判中
solve all your problems and answer all your questions.|可以解决你们所有的问题, 回答你们所有的疑问
That's all I can tell you now.|目前我只能这么告诉你们
Carlo, you grew up in Nevada.|卡洛, 你在内华达长大的
When we make our move there, you're gonna be my right-hand man.|我们搬到那里后, 你就是我的得力助手
Tom Hagen's no longer consigliere.|汤姆·哈根不再做军师了
He's gonna be our lawyer in Vegas.|他将会担任我们在拉斯维加斯的律师
That's no reflection on Tom, but that's the way I want it.|这不是对汤姆的不满, 但这是我想要的
Besides, if I ever need help, who's a better consigliere than my father?|此外, 如果我需要帮助, 有谁比我父亲更适合当军师呢?
Well, that's it.|就是这样
-Thank you, Papa. -I'm happy for you, Carlo.|-谢谢, 爸爸  -我为你高兴, 卡洛
Mike... Why am I out?|迈克尔... 为什么我出局了?
You're not a wartime consigliere, Tom.|你不适合做乱局中的军师, 汤姆
Things may get rough with the move we're trying.|我们正在尝试的搬家可能会让事情变得棘手
Tom|汤姆
I advised Michael.|我向迈克尔建议过
I never thought you were a bad consigliere.|我从不认为你不适合做军师
I thought Santino was a bad Don|我认为桑蒂诺不适合当家
rest in peace.|愿他安息
Michael has all my confidence, as you do.|迈克尔拥有我完全的信任, 和你一样
But|但是
there are reasons why you must have no part of what is going to happen.|不让你参与即将发生的事情, 是有理由的
Maybe I could help.|也许我能帮上忙
You're out, Tom|你出局了, 汤姆
I can't get over the way your face looks.|我实在无法不去注意你的脸
It really looks good.|它的确看起来很棒
This doctor did some job.|这个医生的功夫确实不错
Who talked you into it, Kay?|是凯说服你去的吗?
Hey, hey, wait. Leave them out here.|嘿, 嘿, 等等. 把它们留在这儿
We'll deal with them later.|我们待会再处理它们
He's tired. He wants to clean up. All right.|他累了, 他想整理一下, 好吗?
Now, let me open the door, all right?|现在, 让我来开门, 好吗?
Hello, Mike. Welcome to Las Vegas.|你好, 迈克. 欢迎光临拉斯维加斯
All for you, kid. Huh?|都是为你准备的, 兄弟. 嗯?
It was all his idea, right?|全是他的主意, 对吧?
Well, your brother, Freddy.|你的哥哥弗雷多
It was... Girls?|你弄来的... 女孩子?
-Fredo... -Huh?|-弗雷多...  -嗯?
I'll be right back. You keep them occupied.|我马上回来, 你先招呼一下
-Atta boy, huh? Anything you want, kid. -Who are the girls?|-太棒了, 是吧? 你要什么全都有, 兄弟 -那些女孩子是谁?
That's for you to find out.|那就等你去发现了
Get rid of them, Fredo.|把她们赶走, 弗雷多
Hey, Mike...|嘿, 迈克...
Fredo, I'm here on business.|弗雷多, 我是来这儿办公事的
I leave tomorrow. Now, get rid of them. I'm tired.|我明天就走. 马上把她们赶走. 我累了
Get rid of the band too.|把乐队也赶走
Hey, just take off. Come on. Let's go.|嘿, 取消了. 快点儿, 走吧
Hey, that's it. Angelo, that's it. Let's go.|嘿, 就这样. 安吉洛, 就是这样. 走吧
Hey, come on! Scram!|嘿, 快点儿! 快滚!
Come on, honey. Let's go.|快点儿, 亲爱的. 走吧
I don't know, Johnny.|我不知道, 强尼
I don't know what the hell's the matter with him. I'm sorry.|我不知道他到底怎么了, 对不起
It's all right, Freddy.|没关系, 弗雷迪
I don't know. He's tired, he's hot.|我不知道. 他大概累了, 有点过激
What happened to Moe Greene?|莫·格林呢?
He said he had some business.|他说他有生意要做
He said give him a call when the party started.|他说聚会开始时给他打个电话
Well, give him a call.|好吧, 给他打个电话
Johnny, how are you?|强尼, 你好吗?
Hello, Mike. Nice to see you again.|你好, 迈克. 再见到你真高兴
We're all proud of you.|我们都为你感到骄傲
Thanks, Mike.|谢谢, 迈克
Sit down, Johnny. I want to talk to you.|坐, 强尼. 我要跟你谈谈
The Don's proud of you too, Johnny.|老头子也为你感到骄傲, 强尼
I owe it all to him.|我的一切都归功于他
Well, he knows how grateful you are.|他知道你有多感激他
That's why he'd like to ask a favor of you.|这就是为什么他想请你帮忙的原因
Mike, what can I do?|迈克, 我能做什么?
The Corleone family is thinking of giving up all its interests in the olive oil business|柯里昂家族正在考虑放弃在橄榄油行业的生意
settling out here.|在这里安顿下来
Now, Moe Greene will sell us his share of the casino and hotel|莫·格林将把他在赌场和酒店的股份卖给我们
so it can be completely owned by the family.|使得家族能拥有全部的生意
Tom!|汤姆!
Mike, are you sure about that?|迈克, 这点你确定吗?
Moe loves the business.|莫很爱这门生意
He never said nothin' to me about sellin'.|他从未对我提过要卖掉它的事
I'll make him an offer he can't refuse.|我会给他一个他无法拒绝的提议
See, Johnny...|看, 强尼
See, we figure that entertainment will be a big factor in drawing gamblers to the casino.|我们认为娱乐将是吸引赌徒进入赌场的一个重要因素
